districtid,monthid,neighborhoodzscore,statezscore
222,6,-0.46,-0.59
222,7,-0.4,-0.48
223,1,0.0,0.0
223,2,0.39,-0.49
223,3,-0.01,0.55
223,4,-0.08,0.23
223,5,0.83,-0.08
223,6,1.48,0.53
223,7,1.45,0.81
224,1,0.0,0.0
224,2,0.91,0.2
224,3,-0.07,-0.12
224,4,-0.79,-0.66
224,5,-1.18,-0.73
224,6,-0.42,-0.45
224,7,-0.17,-0.25
225,1,0.0,0.0
225,2,-0.5,-0.4
225,3,-0.26,-0.37
225,4,-0.16,-0.17
225,5,-0.48,-0.41
225,6,-0.89,-0.66
225,7,-0.27,-0.31
226,1,0.0,0.0
226,2,-0.47,-0.19
226,3,-0.58,-0.24
226,4,1.64,-0.2
226,5,8.91,0.01
226,6,6.76,0.97
226,7,8.43,2.43
227,1,-0.57,0.0
227,2,-0.58,0.0
227,3,-0.49,-0.35
227,4,-0.58,-0.38
227,5,-0.59,-0.48
227,6,-0.57,-0.39
227,7,-0.56,0.11
228,1,0.0,0.0
228,2,-0.21,-0.18
228,3,1.93,-0.05
228,4,1.09,-0.17
228,5,0.28,-0.31
228,6,1.72,0.58
228,7,2.62,1.55
229,1,0.0,0.0
229,2,-0.38,-0.37
229,3,0.22,0.48
229,4,1.29,1.54
229,5,0.68,0.41
229,6,0.8,1.62
229,7,0.74,1.81
230,1,0.0,0.0
230,2,-0.71,0.0
230,3,-0.76,0.0
230,4,-0.71,0.92
230,5,-0.72,0.52
230,6,-0.67,1.35
230,7,-0.68,0.87
231,1,0.0,0.0
231,2,-0.4,-0.22
231,3,-0.1,-0.22
231,4,-0.07,-0.29
231,5,4.36,-0.22
231,6,0.65,-0.28
231,7,-0.41,-0.42
232,1,0.0,0.0
232,2,0.0,-0.2
232,3,-0.45,-0.97
232,4,0.27,-0.9
232,5,0.18,-0.22
232,6,-1.14,-0.38
232,7,0.47,-0.39
233,1,0.0,0.0
233,2,0.0,0.0
233,3,-12.39,-0.48
233,4,-0.5,-0.42
233,5,-0.56,-0.34
233,6,0.65,-0.29
233,7,7.07,-0.56
234,1,0.0,0.0
234,2,1.23,0.22
234,3,0.27,0.3
234,4,0.75,0.28
234,5,3.3,0.15
234,6,1.16,-0.02
234,7,1.89,0.12
235,1,0.0,0.0
235,2,0.0,0.0
235,3,0.0,-0.71
235,4,0.0,0.52
235,5,0.0,0.92
235,6,0.0,0.27
235,7,0.0,0.56
236,1,0.0,0.0
236,2,-0.41,-0.23
236,3,-0.48,-0.26
236,4,-0.73,-0.37
236,5,-0.48,-0.31
236,6,-0.28,-0.18
236,7,-0.16,-0.07
237,1,0.0,0.0
237,2,-0.5,-0.22
237,3,-0.6,-0.24
237,4,-0.71,-0.3
237,5,-0.66,-0.53
237,6,-0.64,-0.65
237,7,-0.71,-0.64
238,1,0.0,0.0
238,2,0.92,0.17
238,3,-0.07,-0.12
238,4,0.19,0.63
238,5,-0.52,-0.44
238,6,-1.8,-0.42
238,7,-1.12,-0.33
239,1,0.0,0.0
239,2,0.0,0.0
239,3,-0.43,-0.47
239,4,2.8,-0.12
239,5,3.02,-0.15
239,6,2.41,-0.24
239,7,0.99,-0.32
240,1,0.0,0.0
240,2,-0.45,-0.23
240,3,-0.76,-0.32
240,4,-1.01,-0.36
240,5,-0.82,-0.26
240,6,-0.8,-0.15
240,7,-0.76,-0.2
241,1,0.0,0.0
241,2,-0.51,-0.4
241,3,-0.45,-0.62
241,4,-0.75,-0.5
241,5,-0.73,-0.61
241,6,-0.72,-0.67
241,7,-0.57,-0.54
242,1,0.0,0.0
242,2,0.0,-0.02
242,3,9.19,0.73
242,4,-0.21,-0.32
242,5,-0.05,-0.21
242,6,0.26,0.01
242,7,0.48,-0.03
243,1,0.0,0.0
243,2,0.94,3.16
243,3,5.37,2.23
243,4,2.74,3.43
243,5,1.6,1.74
243,6,0.94,1.49
243,7,2.53,3.35
244,1,0.0,0.0
244,2,336.84,0.0
244,3,70.24,0.0
244,4,40.02,0.0
244,5,27.01,0.0
244,6,25.17,0.0
244,7,33.88,0.0
245,1,0.0,0.0
245,2,-0.14,-0.09
245,3,0.29,-0.36
245,4,-0.93,-0.71
245,5,-1.1,-0.48
245,6,-1.43,-0.94
245,7,-5.55,-0.74
246,1,0.0,0.0
246,2,-0.67,-0.23
246,3,-0.67,-0.73
246,4,-0.32,-0.48
246,5,-0.27,-0.21
246,6,0.45,-0.23
246,7,-0.18,-0.35
247,1,0.0,0.0
247,2,-0.55,-0.35
247,3,1.4,0.18
247,4,-0.46,-0.29
247,5,-0.18,0.08
247,6,0.03,0.32
247,7,-0.1,0.0
248,1,0.0,0.0
248,2,0.0,-0.23
248,3,-0.52,-0.23
248,4,-0.7,-0.3
248,5,-0.8,-0.52
248,6,-0.73,-0.54
248,7,-0.57,-0.45
249,1,0.0,0.0
249,2,-0.44,-0.21
249,3,-0.46,-0.12
249,4,-0.27,0.09
249,5,-0.46,-0.22
249,6,-0.44,-0.33
249,7,-0.45,-0.31
250,1,0.0,0.0
250,2,-0.5,-0.37
250,3,11.58,9.21
250,4,-0.62,-0.66
250,5,0.21,-0.15
